version,date,diff,field_check_m,logger_val_m,Site_ID
depth_avg,2021-09-27T00:00:00Z,NA,0.27399999999999997,NA,14_500
depth_avg,2021-12-13T00:00:00Z,0.11565069935334671,0.26,0.1443493006466533,14_500
depth_avg,2022-10-17T00:00:00Z,0.04643464243450246,0.18,0.13356535756549753,14_500
depth_avg,2023-11-10T00:00:00Z,0.013707410142093049,0.09,0.07629258985790695,14_500
depth_avg,2024-04-09T00:00:00Z,-0.12840321498824814,0.09,0.21840321498824813,14_500
revised_depth,2021-09-27T00:00:00Z,NA,0.27399999999999997,NA,14_500
revised_depth,2021-12-13T00:00:00Z,0.06565069935334672,0.26,0.1943493006466533,14_500
revised_depth,2022-10-17T00:00:00Z,-0.003565357565497529,0.18,0.18356535756549752,14_500
revised_depth,2023-11-10T00:00:00Z,-0.036292589857906926,0.09,0.12629258985790692,14_500
revised_depth,2024-04-09T00:00:00Z,-0.17840321498824815,0.09,0.26840321498824815,14_500
original_depth,2021-10-27T00:00:00Z,0.0778733957467917,0.27,0.19212660425320832,14_538
original_depth,2022-10-17T00:00:00Z,0.012766358536669964,0.265,0.25223364146333005,14_538
original_depth,2023-11-13T00:00:00Z,0.040123065549161646,0.29,0.24987693445083833,14_538
original_depth,2024-04-22T00:00:00Z,NA,0.34,NA,14_538
depth_avg,2021-10-27T00:00:00Z,0.10787339574679167,0.27,0.16212660425320835,14_538
depth_avg,2022-10-17T00:00:00Z,0.04276635853666996,0.265,0.22223364146333005,14_538
depth_avg,2023-11-13T00:00:00Z,0.010123065549161592,0.29,0.2798769344508384,14_538
depth_avg,2024-04-22T00:00:00Z,NA,0.34,NA,14_538
revised_depth,2021-10-27T00:00:00Z,0.07787339574679164,0.27,0.19212660425320838,14_538
revised_depth,2022-10-17T00:00:00Z,0.012766358536669964,0.265,0.25223364146333005,14_538
revised_depth,2023-11-13T00:00:00Z,-0.019876934450838435,0.29,0.3098769344508384,14_538
revised_depth,2024-04-22T00:00:00Z,NA,0.34,NA,14_538
original_depth,2021-10-27T00:00:00Z,0.08458744553852748,0.13,0.04541255446147252,14_610
original_depth,2023-11-13T00:00:00Z,0.047202103495116,0.12,0.072797896504884,14_610
original_depth,2024-04-24T00:00:00Z,0.06207066636355468,0.27,0.20792933363644533,14_610
depth_avg,2021-10-27T00:00:00Z,0.09958744553852736,0.13,0.030412554461472653,14_610
depth_avg,2023-11-13T00:00:00Z,0.0322021034951159,0.12,0.0877978965048841,14_610
depth_avg,2024-04-24T00:00:00Z,0.05707066636355465,0.27,0.21292933363644537,14_610
revised_depth,2021-10-27T00:00:00Z,0.08458744553852746,0.13,0.045412554461472555,14_610
revised_depth,2023-11-13T00:00:00Z,0.017202103495116,0.12,0.102797896504884,14_610
revised_depth,2024-04-24T00:00:00Z,0.04207066636355475,0.27,0.22792933363644527,14_610
original_depth,2023-11-13T00:00:00Z,0.06625326388992675,-0.28,-0.3462532638899268,14_612
original_depth,2024-04-24T00:00:00Z,0.07934482778056431,-0.12,-0.1993448277805643,14_612
depth_avg,2023-11-13T00:00:00Z,0.039586597223260134,-0.28,-0.31958659722326016,14_612
depth_avg,2024-04-24T00:00:00Z,0.05267816111389767,-0.12,-0.17267816111389767,14_612
revised_depth,2023-11-13T00:00:00Z,-0.01374673611007321,-0.28,-0.2662532638899268,14_612
revised_depth,2024-04-24T00:00:00Z,-6.551722194356735e-4,-0.12,-0.11934482778056432,14_612
original_depth,2023-11-13T00:00:00Z,0.10546747154100353,-0.17,-0.27546747154100354,14_616
original_depth,2024-04-22T00:00:00Z,-0.03500427595896535,0.06,0.09500427595896535,14_616
depth_avg,2023-11-13T00:00:00Z,0.04880080487433694,-0.17,-0.21880080487433695,14_616
depth_avg,2024-04-22T00:00:00Z,0.028329057374368027,0.06,0.03167094262563197,14_616
revised_depth,2023-11-13T00:00:00Z,0.05546747154100365,-0.17,-0.22546747154100366,14_616
revised_depth,2024-04-22T00:00:00Z,0.03499572404103474,0.06,0.02500427595896526,14_616
original_depth,2021-09-27T00:00:00Z,NA,0.055,NA,15_268
original_depth,2023-11-10T00:00:00Z,0.18769246076041549,-0.23,-0.4176924607604155,15_268
depth_avg,2021-09-27T00:00:00Z,NA,0.055,NA,15_268
depth_avg,2023-11-10T00:00:00Z,0.1443591274270822,-0.23,-0.3743591274270822,15_268
revised_depth,2021-09-27T00:00:00Z,NA,0.055,NA,15_268
revised_depth,2023-11-10T00:00:00Z,0.10769246076041558,-0.23,-0.3376924607604156,15_268
original_depth,2021-09-27T00:00:00Z,NA,0.39,NA,15_4
original_depth,2021-12-13T00:00:00Z,NA,0.17,NA,15_4
original_depth,2022-10-12T00:00:00Z,0.05447068803228526,0.13,0.07552931196771474,15_4
original_depth,2024-04-15T00:00:00Z,0.03584063713581977,0.02,-0.01584063713581977,15_4
depth_avg,2021-09-27T00:00:00Z,NA,0.39,NA,15_4
depth_avg,2021-12-13T00:00:00Z,NA,0.17,NA,15_4
depth_avg,2022-10-12T00:00:00Z,0.07947068803228541,0.13,0.0505293119677146,15_4
depth_avg,2024-04-15T00:00:00Z,8.406371358197599e-4,0.02,0.01915936286418024,15_4
revised_depth,2021-09-27T00:00:00Z,NA,0.39,NA,15_4
revised_depth,2021-12-13T00:00:00Z,NA,0.17,NA,15_4
revised_depth,2022-10-12T00:00:00Z,0.09447068803228531,0.13,0.0355293119677147,15_4
revised_depth,2024-04-15T00:00:00Z,0.015840637135819662,0.02,0.004159362864180338,15_4
original_depth,2021-09-27T00:00:00Z,NA,0.27399999999999997,NA,15_409
original_depth,2021-12-13T00:00:00Z,0.05819147372560468,0.18,0.12180852627439531,15_409
original_depth,2023-11-10T00:00:00Z,0.009068791016370037,-0.24,-0.24906879101637003,15_409
original_depth,2024-04-15T00:00:00Z,0.03502864486248444,0.23,0.19497135513751557,15_409
depth_avg,2021-09-27T00:00:00Z,NA,0.27399999999999997,NA,15_409
depth_avg,2021-12-13T00:00:00Z,0.1248581403922713,0.18,0.055141859607728695,15_409
depth_avg,2023-11-10T00:00:00Z,-0.014264542316963363,-0.24,-0.22573545768303663,15_409
depth_avg,2024-04-15T00:00:00Z,-0.008304688470848948,0.23,0.23830468847084896,15_409
revised_depth,2021-09-27T00:00:00Z,NA,0.27399999999999997,NA,15_409
revised_depth,2021-12-13T00:00:00Z,0.05819147372560465,0.18,0.12180852627439534,15_409
revised_depth,2023-11-10T00:00:00Z,-0.08093120898363002,-0.24,-0.15906879101636998,15_409
revised_depth,2024-04-15T00:00:00Z,-0.0749713551375156,0.23,0.3049713551375156,15_409
original_depth,2021-09-27T00:00:00Z,NA,0.14,NA,15_516
original_depth,2021-12-13T00:00:00Z,0.027889684870278472,0.14,0.11211031512972154,15_516
original_depth,2024-04-15T00:00:00Z,0.09865213898259972,0.09,-0.008652138982599727,15_516
depth_avg,2021-09-27T00:00:00Z,NA,0.14,NA,15_516
depth_avg,2021-12-13T00:00:00Z,0.09122301820361182,0.14,0.04877698179638819,15_516
depth_avg,2024-04-15T00:00:00Z,0.06198547231593296,0.09,0.02801452768406704,15_516
revised_depth,2021-09-27T00:00:00Z,NA,0.14,NA,15_516
revised_depth,2021-12-13T00:00:00Z,0.027889684870278472,0.14,0.11211031512972154,15_516
revised_depth,2024-04-15T00:00:00Z,-0.0013478610174003924,0.09,0.09134786101740039,15_516
original_depth,2021-11-03T00:00:00Z,0.16830275310900267,0.08,-0.08830275310900267,3_173
original_depth,2022-10-19T00:00:00Z,0.007400400558377053,0.01,0.002599599441622947,3_173
original_depth,2023-11-14T00:00:00Z,-0.04670292734524861,0.03,0.07670292734524861,3_173
original_depth,2024-05-03T00:00:00Z,0.11815564784276454,-0.0015,-0.11965564784276454,3_173
depth_avg,2021-11-03T00:00:00Z,0.18496941977566947,0.08,-0.10496941977566947,3_173
depth_avg,2022-10-19T00:00:00Z,0.024067067225043766,0.01,-0.014067067225043766,3_173
depth_avg,2023-11-14T00:00:00Z,-0.01003626067858189,0.03,0.04003626067858189,3_173
depth_avg,2024-05-03T00:00:00Z,0.06482231450943123,-0.0015,-0.06632231450943123,3_173
revised_depth,2021-11-03T00:00:00Z,0.16830275310900278,0.08,-0.08830275310900279,3_173
revised_depth,2022-10-19T00:00:00Z,0.007400400558377103,0.01,0.002599599441622897,3_173
revised_depth,2023-11-14T00:00:00Z,-0.026702927345248553,0.03,0.05670292734524855,3_173
revised_depth,2024-05-03T00:00:00Z,0.048155647842764555,-0.0015,-0.04965564784276456,3_173
original_depth,2021-11-03T00:00:00Z,0.014418803033410615,0.21,0.19558119696658938,3_21
original_depth,2022-10-19T00:00:00Z,-0.2934969233970084,0.13,0.4234969233970084,3_21
original_depth,2024-05-03T00:00:00Z,-1.0858747740454164,9e-4,1.0867747740454163,3_21
depth_avg,2021-11-03T00:00:00Z,-0.3589145302999218,0.21,0.5689145302999218,3_21
depth_avg,2022-10-19T00:00:00Z,-0.666830256730342,0.13,0.796830256730342,3_21
depth_avg,2024-05-03T00:00:00Z,-0.3842081073787493,9e-4,0.3851081073787493,3_21
revised_depth,2021-11-03T00:00:00Z,0.014418803033411559,0.21,0.19558119696658843,3_21
revised_depth,2022-10-19T00:00:00Z,-0.29349692339700867,0.13,0.4234969233970087,3_21
revised_depth,2024-05-03T00:00:00Z,-0.010874774045415958,9e-4,0.011774774045415957,3_21
original_depth,2021-11-03T00:00:00Z,0.03729028458056934,0.065,0.02770971541943066,3_23
original_depth,2023-11-14T00:00:00Z,0.015337017643732298,-0.37,-0.3853370176437323,3_23
original_depth,2024-05-03T00:00:00Z,0.14176257310176982,-0.0031,-0.1448625731017698,3_23
depth_avg,2021-11-03T00:00:00Z,-0.009376382086097562,0.065,0.07437638208609756,3_23
depth_avg,2023-11-14T00:00:00Z,-0.051329649022934354,-0.37,-0.31867035097706564,3_23
depth_avg,2024-05-03T00:00:00Z,0.2550959064351033,-0.0031,-0.2581959064351033,3_23
revised_depth,2021-11-03T00:00:00Z,0.03729028458056908,0.065,0.027709715419430923,3_23
revised_depth,2023-11-14T00:00:00Z,-0.00466298235626772,-0.37,-0.3653370176437323,3_23
revised_depth,2024-05-03T00:00:00Z,0.30176257310176996,-0.0031,-0.30486257310176995,3_23
original_depth,2021-12-01T00:00:00Z,0.022465989174402633,0.04,0.017534010825597367,3_244
original_depth,2022-10-19T00:00:00Z,-0.008196575681688807,0.05,0.05819657568168881,3_244
original_depth,2023-11-14T00:00:00Z,0.08277556420725492,-0.03,-0.11277556420725492,3_244
depth_avg,2021-12-01T00:00:00Z,0.05246598917440273,0.04,-0.012465989174402734,3_244
depth_avg,2022-10-19T00:00:00Z,0.02180342431831129,0.05,0.028196575681688714,3_244
depth_avg,2023-11-14T00:00:00Z,0.09277556420725507,-0.03,-0.12277556420725506,3_244
revised_depth,2021-12-01T00:00:00Z,0.02246598917440271,0.04,0.01753401082559729,3_244
revised_depth,2022-10-19T00:00:00Z,-0.008196575681688738,0.05,0.05819657568168874,3_244
revised_depth,2023-11-14T00:00:00Z,0.06277556420725504,-0.03,-0.09277556420725504,3_244
original_depth,2022-10-19T00:00:00Z,-0.017500865673667876,0.18,0.19750086567366787,3_311
original_depth,2023-11-17T00:00:00Z,-0.038862214404270456,0.26,0.29886221440427047,3_311
original_depth,2024-05-03T00:00:00Z,-0.09667600426109951,0.19,0.2866760042610995,3_311
depth_avg,2022-10-19T00:00:00Z,-0.02416753234033467,0.18,0.20416753234033466,3_311
depth_avg,2023-11-17T00:00:00Z,-0.03552888107093716,0.26,0.29552888107093717,3_311
depth_avg,2024-05-03T00:00:00Z,-0.09334267092776616,0.19,0.28334267092776616,3_311
revised_depth,2022-10-19T00:00:00Z,-0.01750086567366796,0.18,0.19750086567366795,3_311
revised_depth,2023-11-17T00:00:00Z,-0.028862214404270448,0.26,0.28886221440427046,3_311
revised_depth,2024-05-03T00:00:00Z,-0.08667600426109945,0.19,0.27667600426109945,3_311
original_depth,2021-10-20T00:00:00Z,NA,0.02,NA,3_34
original_depth,2023-11-14T00:00:00Z,-0.012847702454298088,-0.21,-0.1971522975457019,3_34
depth_avg,2021-10-20T00:00:00Z,NA,0.02,NA,3_34
depth_avg,2023-11-14T00:00:00Z,-0.3911810357876314,-0.21,0.18118103578763142,3_34
revised_depth,2021-10-20T00:00:00Z,NA,0.02,NA,3_34
revised_depth,2023-11-14T00:00:00Z,0.012152297545701907,-0.21,-0.2221522975457019,3_34
original_depth,2021-10-20T00:00:00Z,NA,0.1,NA,3_638
original_depth,2022-10-19T00:00:00Z,-0.03701962585743336,0.06,0.09701962585743336,3_638
original_depth,2024-05-03T00:00:00Z,-0.09612929747417914,4e-4,0.09652929747417914,3_638
depth_avg,2021-10-20T00:00:00Z,NA,0.1,NA,3_638
depth_avg,2022-10-19T00:00:00Z,-0.07035295919076667,0.06,0.13035295919076667,3_638
depth_avg,2024-05-03T00:00:00Z,-0.014462630807512478,4e-4,0.014862630807512477,3_638
revised_depth,2021-10-20T00:00:00Z,NA,0.1,NA,3_638
revised_depth,2022-10-19T00:00:00Z,-0.03701962585743333,0.06,0.09701962585743333,3_638
revised_depth,2024-05-03T00:00:00Z,0.01887070252582085,4e-4,-0.018470702525820847,3_638
original_depth,2023-10-30T00:00:00Z,0.062383703818791145,0.03,-0.032383703818791146,5_161
original_depth,2024-04-09T00:00:00Z,0.27771584967412377,0.105,-0.1727158496741238,5_161
depth_avg,2023-10-30T00:00:00Z,0.11571703715212454,0.03,-0.085717037152124545,5_161
depth_avg,2024-04-09T00:00:00Z,0.0910491830074571,0.105,0.013950816992542895,5_161
revised_depth,2023-10-30T00:00:00Z,-0.017616296181208767,0.03,0.047616296181208766,5_161
revised_depth,2024-04-09T00:00:00Z,-0.042284150325876194,0.105,0.1472841503258762,5_161
original_depth,2021-11-03T00:00:00Z,0.16108438461936225,0.19,0.028915615380637756,5_321
original_depth,2022-10-12T00:00:00Z,0.00561691062776087,0.01,0.00438308937223913,5_321
original_depth,2023-10-30T00:00:00Z,-0.04074814422356093,0.04,0.08074814422356093,5_321
original_depth,2024-04-09T00:00:00Z,0.01951445448345432,0.235,0.21548554551654567,5_321
depth_avg,2021-11-03T00:00:00Z,0.17441771795269562,0.19,0.015582282047304375,5_321
depth_avg,2022-10-12T00:00:00Z,0.01895024396109461,0.01,-0.0089502439610946085,5_321
depth_avg,2023-10-30T00:00:00Z,0.0025851891097730256,0.04,0.037414810890226975,5_321
depth_avg,2024-04-09T00:00:00Z,-0.03715221218321324,0.235,0.2721522121832132,5_321
revised_depth,2021-11-03T00:00:00Z,0.1610843846193622,0.19,0.028915615380637794,5_321
revised_depth,2022-10-12T00:00:00Z,0.005616910627761189,0.01,0.0043830893722388116,5_321
revised_depth,2023-10-30T00:00:00Z,-0.010748144223560394,0.04,0.050748144223560394,5_321
revised_depth,2024-04-09T00:00:00Z,-0.05048554551654666,0.235,0.28548554551654665,5_321
original_depth,2021-11-03T00:00:00Z,0.47732208312901464,0.01,-0.46732208312901463,5_510
original_depth,2023-10-30T00:00:00Z,0.04064778856830453,-0.59,-0.6306477885683045,5_510
original_depth,2024-04-09T00:00:00Z,0.4153243350486706,-0.0022,-0.4175243350486706,5_510
depth_avg,2021-11-03T00:00:00Z,0.5273220831290147,0.01,-0.5173220831290147,5_510
depth_avg,2023-10-30T00:00:00Z,0.09064778856830447,-0.59,-0.6806477885683044,5_510
depth_avg,2024-04-09T00:00:00Z,0.31532433504867063,-0.0022,-0.3175243350486706,5_510
revised_depth,2021-11-03T00:00:00Z,0.4773220831290147,0.01,-0.4673220831290147,5_510
revised_depth,2023-10-30T00:00:00Z,0.04064778856830442,-0.59,-0.6306477885683044,5_510
revised_depth,2024-04-09T00:00:00Z,0.2653243350486706,-0.0022,-0.26752433504867057,5_510
original_depth,2021-12-13T00:00:00Z,0.075391840783681,0.45,0.374608159216319,5_560
original_depth,2022-10-12T00:00:00Z,-0.09356783266926247,0.14,0.23356783266926248,5_560
original_depth,2023-10-30T00:00:00Z,0.0371127669528068,0.3,0.2628872330471932,5_560
original_depth,2024-04-15T00:00:00Z,0.01552559196027481,0.47,0.45447440803972516,5_560
